# ERICA Nav — Shuttle bus timetable data
#
# HOW TO EDIT: this file drives the "Shuttle" tab in the app. Edit rows below in Excel/Sheets
# and re-upload/replace this file — changes show up next time the app loads.
#
# One row = one bus departure (a stop the bus leaves from, at a time, on a route).
#
# Column guide:
#  period       semester | session | vacation   (which part of the academic calendar this applies to)
#  day_type     weekday | holiday                (weekday = Mon-Fri class days; holiday = weekends + public holidays)
#  stop         res | cock | hda | apt            (boarding stop code — see stop_name for the full name)
#  stop_name    full name of the boarding stop (for reference only — editing this column does nothing; edit "stop")
#  time         24-hour HH:MM departure time from that stop
#  route_code   C | DH | DY | D | J               (which route this departure runs — see route_name)
#  route_name   full name of the route (for reference only — editing this column does nothing; edit "route_code")
#
# Route codes: C = Cycle route, stops at every stop in order (Residence -> Shuttlecock -> Handaeap Stn -> Yesulin APT).
#              DH = Direct to Handaeap Stn (skips stops in between). DY = Direct to Yesulin APT. D = generic direct route.
#              J = Via Jungang Stn detour (only these runs stop at Jungang Stn).
#
# Stop codes:  res = ERICA Residence · cock = Shuttlecock stop (campus) · hda = Handaeap Stn (Line 4) · apt = Yesulin APT (Ansan terminal)
#
# To add a departure: add a new row with the same period/day_type/stop and a new time+route_code.
# To remove one: delete its row. To change a time: edit the "time" cell.
#
period,day_type,stop,stop_name,time,route_code,route_name
semester,weekday,res,ERICA Residence,16:01,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,16:07,J,Via Jungang Stn
semester,weekday,res,ERICA Residence,16:13,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,16:19,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,16:25,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,16:25,DY,Direct - Yesulin APT
semester,weekday,res,ERICA Residence,16:31,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,16:37,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,16:43,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,16:49,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,16:55,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,16:55,DY,Direct - Yesulin APT
semester,weekday,res,ERICA Residence,17:01,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,17:07,J,Via Jungang Stn
semester,weekday,res,ERICA Residence,17:13,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,17:19,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,17:25,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,17:25,DY,Direct - Yesulin APT
semester,weekday,res,ERICA Residence,17:31,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,17:37,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,17:43,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,17:49,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,17:55,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,18:01,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,18:07,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,18:13,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,18:19,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,18:25,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,18:35,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,18:45,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,18:55,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,19:05,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,19:15,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,19:25,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,19:35,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,19:45,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,19:55,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,20:05,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,20:15,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,20:25,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,20:35,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,20:45,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,20:55,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,21:05,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,21:15,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,21:25,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,21:40,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,21:55,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,22:10,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,22:25,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,22:40,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,22:55,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,07:50,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,08:00,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,08:05,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,08:10,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,08:15,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,08:20,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,08:20,DY,Direct - Yesulin APT
semester,weekday,cock,Shuttlecock stop,08:23,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,08:26,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,08:29,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,08:32,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,08:35,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,08:38,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,08:41,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,08:45,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,08:50,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,08:50,DY,Direct - Yesulin APT
semester,weekday,cock,Shuttlecock stop,08:55,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,09:00,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,09:05,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,09:10,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,09:15,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,09:20,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,09:20,DY,Direct - Yesulin APT
semester,weekday,cock,Shuttlecock stop,09:23,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,09:26,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,09:29,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,09:32,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,09:35,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,09:38,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,09:41,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,09:45,DH,Direct - Handaeap Stn
